,,MAE,MAE,MAE,MALE,MALE,MALE,MAPE,MAPE,MAPE
,,Germany,Russia,US,Germany,Russia,US,Germany,Russia,US
1,Boost,0.6428571428571429,0.21428571428571427,2663.1428571428573,0.00016023695048555573,0.0009539997657063478,0.10290339728026356,0.00016025795139450777,0.0009562561391197441,0.11172972565061635
1,GDGM,385.1666666666667,42.333333333333336,1675.6666666666667,0.08618376685452922,0.12430579865353024,0.0462703423423948,0.08203375775122657,0.1168821836804198,0.04402008568704452
1,RNN,99.03662109375,2.5918197631835938,2476.1373697916665,0.028663127466585378,0.008517607645241452,0.10663854955232406,0.028067764388357303,0.008614107761757825,0.11759770986663216
1,SEIIHURD,604.0932681192589,52.85384581478923,13071.011532934059,0.1999735731468939,0.13507477592745737,0.4996832998167192,0.1780362130306713,0.14189322746677757,0.39140235705852605
1,SIRDp,1594.142857142857,14.928571428571429,1561.857142857143,0.5136900578574709,0.06881709167492804,0.055358664286815705,0.39818902150878427,0.06662490752846657,0.05750886369093139
1,SIRFp,1594.142857142857,18.642857142857142,1561.9285714285713,0.5136900578574709,0.07679948965850582,0.05536066511515877,0.39818902150878427,0.07390236041995456,0.05751080610986453
5,Boost,370.7857142857143,119.42857142857143,2623.0714285714284,0.0688087801334653,0.2521868826863528,0.06733323490990656,0.07301348143841911,0.2724446805715576,0.0712098853762845
5,GDGM,436.0,41.833333333333336,6394.333333333333,0.07835815559557434,0.07926572451641029,0.12206817426979039,0.07731244599611779,0.07796155437098795,0.13063026979063772
5,RNN,374.5161946614583,56.085673014322914,3007.1126302083335,0.09005348210734208,0.151532471879336,0.07612342297607473,0.08559136588859184,0.14007542747204352,0.07520853162239842
5,SEIIHURD,647.3999471720667,179.31145946222853,15683.552664001018,0.17575213828361497,0.212219193316671,0.4755820302365138,0.1591372483239485,0.25500630843973854,0.37545149031796654
5,SIRDp,2018.9285714285713,35.642857142857146,1896.7857142857142,0.5438024344020962,0.12133498533048369,0.04530431731149521,0.4167123682064903,0.11300131185196631,0.046708741598535115
5,SIRFp,2018.9285714285713,43.714285714285715,1896.7857142857142,0.5438024344020962,0.13397462041304292,0.04530538827343629,0.4167123682064903,0.12412171741206378,0.046710020809909616
30,Boost,31085.35714285714,25811.14285714286,148007.92857142858,1.1072828790994074,0.8536227566666036,0.8726739771988277,3.8554425195498254,9.117557478397657,1.6679986731076022
30,RNN,1800.0064290364583,933.6659749348959,41145.002604166664,0.30277697027810774,0.46472885538852576,0.6866816704496496,0.2355369498454304,0.33960987315963714,0.484321344054389
30,SEIIHURD,1272.406366633756,23916.546018556146,34423.05999194537,0.20375300014020375,2.279350890954723,0.4202684040789636,0.1689831208900377,9.144651087366363,0.4017107566843222
30,SIRDp,2415.5714285714284,914.1428571428571,19066.85714285714,0.3670591821045285,0.6128402924609786,0.18957869811819889,0.3071387391648254,0.4206789397779848,0.21427393361806304
30,SIRFp,2415.5714285714284,1006.5714285714286,19066.571428571428,0.3670591821045285,0.6562513192873565,0.18957565638814142,0.3071387391648254,0.4506138315052131,0.21427048494993714
